Date,Substation,Feeder_Name,Time Off,Time On,Delay Hrs.,Line_section,new
2019-12-16 00:00:00,Panadura,Walana,8:09 h,8:38 h,0.48,Section 1_2_3,overwritten
2019-12-16 00:00:00,Panadura,Walana,8:38 h,8:54 h,0.27,Section 2_3,overwritten
2019-12-14 00:00:00,Panadura,Walana,8:37 h,8:42 h,0.08,Section 3,overwritten
2019-12-14 00:00:00,Panadura,Walana,9:06 h,9:39 h,0.55,Section 2,overwritten
2019-12-14 00:00:00,Panadura,Walana,13:27 h,14:11 h,0.73,Section 2,overwritten
2019-12-14 00:00:00,Panadura,Walana,14:25 h,14:29 h,0.07,Section 3,overwritten
2019-11-30 00:00:00,Panadura,Walana,7:38 h,8:04 h,0.43,Section 1_2_3,overwritten
2019-11-30 00:00:00,Panadura,Walana,13:10 h,13:29 h,0.32,Section 1_2_3,overwritten
2019-11-30 00:00:00,Panadura,Walana,13:45 h,13:48 h,0.05,Section 1_2_3,overwritten
2019-11-20 00:00:00,Panadura,Walana,21:35 h,21:43 h,0.13,Section 1_2_3,overwritten
2019-10-27 00:00:00,Panadura,Walana,8:02 h,8:37 h,0.58,Section 1_2_3,overwritten
2019-09-16 00:00:00,Panadura,Walana,22:53 h,23:37 h,0.73,Section 1_2_3,overwritten
2019-08-23 00:00:00,Panadura,Walana,9:15 h,9:41 h,0.43,Section 1_2_3,overwritten
2019-08-23 00:00:00,Panadura,Walana,9:41 h,10:02 h,0.35,Section 3,overwritten
2019-08-22 00:00:00,Panadura,Walana,6:10 h,6:48 h,0.63,Section 1_2_3,overwritten
2019-07-24 00:00:00,Panadura,Walana,15:11 h,16:02 h,0.85,Section 1_2_3,overwritten
2019-06-26 00:00:00,Panadura,Walana,7:06 h,7:27 h,0.35,Section 1_2_3,overwritten
2019-06-22 00:00:00,Panadura,Walana,16:25 h,16:53 h,0.47,Section 1_2_3,overwritten
2019-06-22 00:00:00,Panadura,Walana,16:53 h,17:13 h,0.33,Section 2_3,overwritten
2019-06-01 00:00:00,Panadura,Walana,6:40 h,7:16 h,0.6,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:05 h,9:29 h,0.4,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:45 h,10:05 h,0.33,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:05 h,10:09 h,0.07,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:09 h,10:38 h,0.48,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:38 h,10:40 h,0.03,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,10:40 h,12:16 h,1.6,Section 3,overwritten
2019-05-13 00:00:00,Panadura,Walana,9:29 h,9:45 h,0.27,Section 2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,12:16 h,12:19 h,0.05,Section 1_2_3,overwritten
2019-05-13 00:00:00,Panadura,Walana,12:19 h,12:59 h,0.67,Section 3,overwritten
2019-04-28 00:00:00,Panadura,Walana,6:52 h,7:14 h,0.37,Section 1_2_3,overwritten
2019-04-27 00:00:00,Panadura,Walana,17:32 h,18:11 h,0.65,Section 1_2_3,overwritten
2019-04-27 00:00:00,Panadura,Walana,18:11 h,18:20 h,0.15,Section 3,overwritten
2019-04-23 00:00:00,Panadura,Walana,10:32 h,11:10 h,0.63,Section 1_2_3,overwritten
2019-04-23 00:00:00,Panadura,Walana,15:52 h,16:51 h,0.98,Section 1_2_3,overwritten
2019-04-21 00:00:00,Panadura,Walana,17:47 h,18:19 h,0.53,Section 1_2_3,overwritten
