Date,Substation,Feeder_Name,Time Off,Time On,Delay Hrs.,Line_section,new
5/18/2018 0:00,Panadura,Walana,10:42 h,12:15 h,1.55,1,overwritten
5/18/2018 0:00,Panadura,Walana,13:19 h,13:22 h,0.05,1,overwritten
1/28/2018 0:00,Panadura,Walana,14:00 h,14:24 h,0.4,1,overwritten
7/11/2017 0:00,Panadura,Walana,10:48 h,11:36 h,0.8,1,overwritten
4/30/2017 0:00,Panadura,Walana,7:14 h,7:16 h,0.03,1,overwritten
4/30/2017 0:00,Panadura,Walana,18:47 h,18:49 h,0.03,1,overwritten
3/13/2017 0:00,Panadura,Walana,7:30 h,7:48 h,0.3,1,overwritten
3/13/2017 0:00,Panadura,Walana,17:04 h,17:12 h,0.13,1,overwritten
3/11/2017 0:00,Panadura,Walana,11:15 h,12:00 h,0.75,1,overwritten
3/11/2017 0:00,Panadura,Walana,17:24 h,17:44 h,0.33,1,overwritten
9/19/2015 0:00,Panadura,Walana,10:40 h,10:43 h,0.05,1,overwritten
12/14/2019 0:00,Panadura,Walana,9:06 h,9:39 h,0.55,2,overwritten
12/14/2019 0:00,Panadura,Walana,13:27 h,14:11 h,0.73,2,overwritten
5/18/2018 0:00,Panadura,Walana,9:52 h,10:00 h,0.13,2,overwritten
7/11/2017 0:00,Panadura,Walana,12:06 h,12:12 h,0.1,2,overwritten
1/9/2017 0:00,Panadura,Walana,18:00 h,18:02 h,0.03,2,overwritten
11/19/2016 0:00,Panadura,Walana,11:33 h,13:19 h,1.77,2,overwritten
12/14/2019 0:00,Panadura,Walana,8:37 h,8:42 h,0.08,3,overwritten
12/14/2019 0:00,Panadura,Walana,14:25 h,14:29 h,0.07,3,overwritten
8/23/2019 0:00,Panadura,Walana,9:41 h,10:02 h,0.35,3,overwritten
5/13/2019 0:00,Panadura,Walana,9:45 h,10:05 h,0.33,3,overwritten
5/13/2019 0:00,Panadura,Walana,10:09 h,10:38 h,0.48,3,overwritten
5/13/2019 0:00,Panadura,Walana,10:40 h,12:16 h,1.6,3,overwritten
5/13/2019 0:00,Panadura,Walana,12:19 h,12:59 h,0.67,3,overwritten
4/27/2019 0:00,Panadura,Walana,18:11 h,18:20 h,0.15,3,overwritten
2/3/2019 0:00,Panadura,Walana,8:25 h,8:30 h,0.08,3,overwritten
2/3/2019 0:00,Panadura,Walana,13:39 h,13:41 h,0.03,3,overwritten
12/4/2018 0:00,Panadura,Walana,15:56 h,16:22 h,0.43,3,overwritten
12/3/2018 0:00,Panadura,Walana,10:51 h,11:10 h,0.32,3,overwritten
9/24/2018 0:00,Panadura,Walana,11:23 h,11:32 h,0.15,3,overwritten
9/24/2018 0:00,Panadura,Walana,14:25 h,14:36 h,0.18,3,overwritten
9/22/2018 0:00,Panadura,Walana,15:44 h,15:52 h,0.13,3,overwritten
8/25/2018 0:00,Panadura,Walana,15:28 h,15:37 h,0.15,3,overwritten
8/1/2018 0:00,Panadura,Walana,11:35 h,11:40 h,0.08,3,overwritten
7/14/2018 0:00,Panadura,Walana,11:30 h,11:37 h,0.12,3,overwritten
7/14/2018 0:00,Panadura,Walana,15:59 h,16:02 h,0.05,3,overwritten
6/15/2018 0:00,Panadura,Walana,10:27 h,10:32 h,0.08,3,overwritten
6/15/2018 0:00,Panadura,Walana,12:48 h,12:52 h,0.07,3,overwritten
