Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2015-03-30 00:00:00,Fullerton,Kaluthara North,15:10 h,15:14 h,0.07,Section 1,overwritten
2016-02-18 00:00:00,Fullerton,Kaluthara North,12:15 h,12:30 h,0.25,Section 1,overwritten
2016-02-18 00:00:00,Fullerton,Kaluthara North,12:00 h,12:01 h,0.02,Section 2,overwritten
2016-02-18 00:00:00,Fullerton,Kaluthara North,12:42 h,12:43 h,0.02,Section 2,overwritten
2016-05-15 00:00:00,Fullerton,Kaluthara North,10:22 h,10:43 h,0.35,Section 1 & 2,overwritten
2016-05-15 00:00:00,Fullerton,Kaluthara North,17:46 h,19:25 h,1.65,Section 1 & 2,overwritten
2016-05-15 00:00:00,Fullerton,Kaluthara North,19:25 h,19:40 h,0.25,Section 2,overwritten
2016-05-16 00:00:00,Fullerton,Kaluthara North,9:50 h,11:01 h,1.18,Section 1 & 2,overwritten
2016-05-29 00:00:00,Fullerton,Kaluthara North,22:14 h,22:47 h,0.55,Section 1 & 2,overwritten
2016-05-29 00:00:00,Fullerton,Kaluthara North,22:47 h,23:07 h,0.33,Section 2,overwritten
2016-05-30 00:00:00,Fullerton,Kaluthara North,7:31 h,8:12 h,0.68,Section 1 & 2,overwritten
2016-05-30 00:00:00,Fullerton,Kaluthara North,11:25 h,11:33 h,0.13,Section 1 & 2,overwritten
2016-05-30 00:00:00,Fullerton,Kaluthara North,11:33 h,12:09 h,0.6,Section 2,overwritten
2016-05-30 00:00:00,Fullerton,Kaluthara North,17:48 h,18:09 h,0.35,Section 1 & 2,overwritten
2016-05-30 00:00:00,Fullerton,Kaluthara North,18:09 h,18:42 h,0.55,Section 2,overwritten
2016-07-01 00:00:00,Fullerton,Kaluthara North,16:08 h,16:53 h,0.75,Section 1 & 2,overwritten
2016-07-01 00:00:00,Fullerton,Kaluthara North,16:53 h,17:00 h,0.12,Section 2,overwritten
2016-07-02 00:00:00,Fullerton,Kaluthara North,3:23 h,4:11 h,0.8,Section 2,overwritten
2016-07-14 00:00:00,Fullerton,Kaluthara North,12:58 h,13:31 h,0.55,Section 1 & 2,overwritten
2016-07-14 00:00:00,Fullerton,Kaluthara North,15:55 h,16:25 h,0.5,Section 1 & 2,overwritten
2016-07-16 00:00:00,Fullerton,Kaluthara North,16:16 h,16:45 h,0.48,Section 1 & 2,overwritten
2016-07-16 00:00:00,Fullerton,Kaluthara North,16:45 h,17:05 h,0.33,Section 2,overwritten
2016-07-17 00:00:00,Fullerton,Kaluthara North,9:08 h,9:20 h,0.2,Section 1,overwritten
2016-07-17 00:00:00,Fullerton,Kaluthara North,22:29 h,22:35 h,0.1,Section 1,overwritten
2016-07-22 00:00:00,Fullerton,Kaluthara North,15:50 h,16:10 h,0.33,Section 2,overwritten
2016-07-26 00:00:00,Fullerton,Kaluthara North,13:49 h,13:56 h,0.12,Section 1,overwritten
2016-07-26 00:00:00,Fullerton,Kaluthara North,10:00 h,10:05 h,0.08,Section 1,overwritten
2016-07-27 00:00:00,Fullerton,Kaluthara North,10:00 h,10:05 h,0.08,Section 1,overwritten
2016-07-28 00:00:00,Fullerton,Kaluthara North,16:21 h,16:33 h,0.2,Section 2,overwritten
2016-07-31 00:00:00,Fullerton,Kaluthara North,14:20 h,14:38 h,0.3,Section 1 & 2,overwritten
2016-07-31 00:00:00,Fullerton,Kaluthara North,14:38 h,14:40 h,0.03,Section 2,overwritten
2016-08-05 00:00:00,Fullerton,Kaluthara North,11:09 h,11:43 h,0.57,Section 1 & 2,overwritten
2016-08-05 00:00:00,Fullerton,Kaluthara North,11:43 h,11:52 h,0.15,Section 2,overwritten
2016-08-06 00:00:00,Fullerton,Kaluthara North,9:32 h,9:46 h,0.23,Section 1,overwritten
2016-08-08 00:00:00,Fullerton,Kaluthara North,5:07 h,5:38 h,0.52,Section 1,overwritten
2016-08-08 00:00:00,Fullerton,Kaluthara North,5:38 h,5:39 h,0.02,Section 1,overwritten
2016-08-13 00:00:00,Fullerton,Kaluthara North,23:58 h,23:59 h,0.02,Section 2,overwritten
2016-08-14 00:00:00,Fullerton,Kaluthara North,0:00 h,0:41 h,0.68,Section 2,overwritten
2016-08-15 00:00:00,Fullerton,Kaluthara North,16:51 h,17:05 h,0.23,Section 2,overwritten
2016-08-16 00:00:00,Fullerton,Kaluthara North,1:57 h,2:00 h,0.05,Section 1,overwritten
2016-08-18 00:00:00,Fullerton,Kaluthara North,16:34 h,16:38 h,0.07,Section 1,overwritten
2016-08-22 00:00:00,Fullerton,Kaluthara North,15:48 h,16:00 h,0.2,Section 2,overwritten
2016-08-26 00:00:00,Fullerton,Kaluthara North,6:50 h,7:15 h,0.42,Section 1,overwritten
2016-08-26 00:00:00,Fullerton,Kaluthara North,16:45 h,16:47 h,0.03,Section 2,overwritten
2016-08-31 00:00:00,Fullerton,Kaluthara North,5:11 h,6:03 h,0.87,Section 2,overwritten
2016-09-01 00:00:00,Fullerton,Kaluthara North,11:52 h,12:30 h,0.63,Section 1,overwritten
2016-09-01 00:00:00,Fullerton,Kaluthara North,13:38 h,13:42 h,0.07,Section 2,overwritten
2016-09-04 00:00:00,Fullerton,Kaluthara North,6:54 h,6:57 h,0.05,Section 1 & 2,overwritten
2016-09-04 00:00:00,Fullerton,Kaluthara North,15:10 h,15:15 h,0.08,Section 1 & 2,overwritten
2016-09-06 00:00:00,Fullerton,Kaluthara North,7:35 h,8:19 h,0.73,Section 1 & 2,overwritten
2016-09-06 00:00:00,Fullerton,Kaluthara North,12:23 h,12:26 h,0.05,Section 1 & 2,overwritten
2016-09-06 00:00:00,Fullerton,Kaluthara North,13:07 h,13:11 h,0.07,Section 1 & 2,overwritten
